trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-116.99769957376911,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-194.89792013433205,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-163.72516109009078,"{0: 8, 1: 8, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-90.83305755761828,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-62.792257170281836,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-175.82001409751453,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.6736793522417,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-36.63906551802411,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-166.23567090468833,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-135.74311799942956,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-3.9842001326114227,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-31.139204105815473,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-180.59808479725382,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-77.47095651059433,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-50.51789642066933,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,10,6.1593272311726395,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,-25.543900413314745,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,22.56372525663008,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,5,-30.613141826025313,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-53.050725072260974,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,15,-28.20762903803049,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,-0.9542068732139193,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,24.19606783825054,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,14.706399172670357,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,1,-95.51535872627957,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 3}",1
6,True,"{'a': 0, 'e': 0}",20,5,10.899557482857624,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-50.433108036933206,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,12,-1.2495001756446764,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-34.35864920519543,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,8,-29.457557543479616,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
