trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,16,7.415262845125332,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-103.76228045585123,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-39.00437736456891,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-103.15183356833339,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-110.4790524835538,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-120.73570818904366,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",30,0,-338.2105814062591,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 6}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",30,0,-66.09934845416014,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-161.10174338101186,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-110.66524560408675,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-124.82263791887101,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",20,0,-85.65390353630754,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-239.82560727104544,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 4}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-14.68510139813161,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",30,14,-41.03356166750197,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-69.3756229524727,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-81.10929925687955,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",30,3,-232.53956498769384,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 4}",1
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",30,4,-69.3822681413192,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 0}",1
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-115.08154664686536,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,1,-180.00124589580068,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 3}",1
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-34.34784147684163,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-102.53413041453783,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,0,-202.35344167463998,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",20,0,-55.21436963946201,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-168.25468390623462,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-187.133205931787,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",20,0,-29.33645881875419,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",30,0,-119.37233182468873,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",25,0,-143.3689415532837,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",25,12,-62.281777805690396,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-141.88887491787426,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-138.9248533964164,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,1,-69.43620015066344,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
