trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9}",20,0,-32.82577459155223,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9}",25,0,-133.41104411253707,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9}",20,0,-105.04460392420413,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9}",20,0,-85.89161737160215,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9}",20,0,-30.308680905204383,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9}",25,0,-96.64463434646025,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9}",25,0,-154.73357889805828,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9}",20,0,-83.70309503301526,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9}",25,15,-30.38149978910864,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9}",20,8,-15.801004624362786,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9}",20,0,-144.67732187911892,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9}",20,0,-49.526953294175684,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9}",20,0,-74.05048021675185,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9}",25,0,-188.80114853414318,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.9}",25,16,-42.15633363749124,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9}",20,0,-127.55193028426216,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9}",30,0,-67.97029043152139,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9}",20,0,-186.4414598431253,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",1
19,False,"{'a': 0.01, 'e': 0.9}",20,0,-124.28111510237837,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9}",20,0,-88.32327945434187,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.01, 'e': 0.9}",20,0,-112.66328245647301,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.01, 'e': 0.9}",20,0,-113.06477501987305,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.01, 'e': 0.9}",20,0,-158.01985671627727,"{0: 7, 1: 7, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.01, 'e': 0.9}",30,4,-151.5970309333786,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 3}",1
5,True,"{'a': 0.01, 'e': 0.9}",25,0,-144.44956369102889,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.01, 'e': 0.9}",25,0,-112.21476499261814,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.01, 'e': 0.9}",20,0,-87.2978387110487,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
8,True,"{'a': 0.01, 'e': 0.9}",20,0,-115.62289439917208,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.01, 'e': 0.9}",20,0,-140.0006771082502,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.01, 'e': 0.9}",25,0,-82.59700666361839,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
